0,1,2,3,4,5,6,7
0.0,0.2779,0.4206,0.41,2.8795,3.5575,5.1209,516.731
0.0,0.2748,0.4192,0.4098,2.7174,3.2088,4.4706,521.222
0.0,0.2837,0.4229,0.4193,4.6956,4.7629,5.073,487.009
0.0,0.2837,0.4229,0.4195,4.7284,4.8851,5.3073,486.5
0.0,0.2824,0.4221,0.4193,2.671,3.2127,4.4926,486.991
0.0,0.2796,0.421,0.4191,2.0999,2.615,3.9149,489.633
0.0,0.2765,0.4202,0.4189,1.6224,2.1413,3.4577,494.44
0.0,0.2731,0.4187,0.4187,1.6037,2.0594,3.2397,498.516
0.0,0.2731,0.4187,0.4187,-2.4846,-1.3431,1.3273,498.516
0.5149,0.2837,0.4229,0.4292,2.2665,2.3118,2.6265,426.336
1.2351,0.2821,0.4219,0.429,6.9628,6.2996,5.1019,411.177
1.044,0.2823,0.4221,0.4291,8.3106,7.8309,6.713,446.885
0.8131,0.2811,0.4217,0.429,6.0808,6.2164,6.432,457.15
0.6332,0.2805,0.4216,0.4291,3.8216,4.3041,5.3957,460.32
0.4932,0.2801,0.422,0.4292,3.4664,3.8658,4.8657,461.616
0.3841,0.278,0.4213,0.4291,3.9479,4.1972,4.8727,463.356
0.2991,0.2762,0.4208,0.429,1.1376,1.8887,3.6377,467.21
0.233,0.2762,0.4208,0.429,-1.1239,-0.1654,2.1367,467.21
0.1814,0.2795,0.4206,0.4291,1.6614,1.9109,2.7176,461.584
0.1413,0.2825,0.4205,0.4291,0.539,1.0329,2.3798,463.661
0.11,0.2812,0.42,0.429,1.0073,1.3955,2.4367,464.172
0.0857,0.2798,0.4195,0.4289,1.3266,1.6662,2.5715,466.023
0.0667,0.2798,0.4195,0.4289,1.8627,2.124,2.8407,468.081
0.052,0.2839,0.4229,0.4292,2.9157,3.029,3.3997,451.133
0.1816,0.2839,0.4229,0.4292,3.3699,3.4849,3.8238,444.085
0.1414,0.2839,0.4229,0.4292,3.4862,3.641,4.0577,452.789
0.1102,0.2834,0.4227,0.4292,3.3262,3.543,4.1002,454.89
0.0858,0.2823,0.4221,0.4291,3.3423,3.5639,4.1432,457.574
0.0668,0.2812,0.4216,0.429,3.4483,3.6609,4.2224,460.76
0.052,0.2787,0.4206,0.4288,3.4283,3.6589,4.258,463.353
0.0405,0.2776,0.4203,0.4287,3.4553,3.6885,4.2954,467.788
0.0316,0.2744,0.4191,0.4285,3.4533,3.6944,4.3192,469.589
0.0246,0.2737,0.4187,0.4284,3.6435,3.8569,4.421,474.179
0.216,0.2788,0.4201,0.4286,4.5695,4.6366,4.8756,441.438
0.1682,0.2788,0.4201,0.4291,7.0484,6.7501,6.1564,463.988
0.131,0.2734,0.418,0.4288,6.3659,6.383,6.3963,465.906
0.102,0.2701,0.4158,0.4286,4.2021,4.631,5.5864,474.22
0.0795,0.2652,0.412,0.4283,1.6966,2.4503,4.1973,479.731
0.0619,0.2636,0.4107,0.4282,-0.3757,0.5472,2.7359,479.731
0.0482,0.2612,0.4099,0.4288,-1.054,-0.2243,1.8176,479.731
0.0375,0.2608,0.4117,0.4292,-0.6791,-0.0445,1.5568,479.731
0.0292,0.2565,0.4103,0.4289,-0.141,0.3499,1.6204,479.731
0.0228,0.2539,0.4101,0.4288,-0.1538,0.3329,1.584,479.731
0.0177,0.25,0.4089,0.4285,-0.3517,0.1666,1.4508,479.731
0.0138,0.2469,0.4077,0.4284,-1.8672,-1.0988,0.709,479.731
0.0108,0.245,0.4068,0.4282,-4.3176,-3.1923,-0.669,479.731
0.0084,0.245,0.4068,0.4282,-2.7489,-2.0079,-0.3425,479.731
0.0065,0.2436,0.4061,0.429,-0.877,-0.4912,0.4226,479.731
0.0051,0.2717,0.4085,0.4291,1.5553,1.503,1.4939,471.593
0.1033,0.27,0.4089,0.429,0.6737,0.795,1.1689,458.051
0.0805,0.2682,0.4083,0.4289,-0.1489,0.2215,1.1863,458.051
0.0627,0.2636,0.4068,0.4287,-1.6612,-1.0189,0.5372,458.051
0.0488,0.26,0.4043,0.4285,-2.5996,-1.8547,-0.1156,458.051
0.038,0.2512,0.3973,0.4279,-0.9062,-0.5246,0.3958,458.051
0.0296,0.2746,0.4031,0.4292,1.0871,1.1146,1.2701,469.569
0.0231,0.2834,0.4161,0.4292,2.1217,2.0916,2.1786,460.632
0.018,0.2834,0.4163,0.4292,1.6298,1.7843,2.3305,462.08
0.014,0.2816,0.4154,0.429,-0.2055,0.2952,1.6223,462.08
0.0109,0.2781,0.4146,0.4289,-2.5091,-1.6696,0.3723,462.08
0.0085,0.2752,0.4133,0.4287,-3.5558,-2.6595,-0.562,462.08
0.0066,0.2684,0.4088,0.4284,-3.6463,-2.7902,-0.8126,462.08
0.0051,0.2485,0.4089,0.4292,-0.8957,-0.5383,0.3313,462.08
0.004,0.2832,0.4226,0.4292,2.0899,1.9308,1.6765,453.544
0.19,0.2776,0.4204,0.4287,2.9604,2.6833,2.156,443.289
0.148,0.2826,0.4222,0.4292,3.0179,2.9295,2.9329,461.391
0.1153,0.2826,0.4226,0.4292,4.1901,3.9869,3.7848,462.051
0.0898,0.2751,0.4198,0.4288,3.1072,3.1933,3.6844,460.905
0.0699,0.2642,0.4114,0.4282,3.0463,3.2352,3.7262,472.651
0.0544,0.2632,0.4106,0.4285,5.6146,5.3641,4.9062,487.434
0.1178,0.2815,0.4216,0.429,8.3812,7.8271,6.6276,447.209
0.0917,0.2756,0.4202,0.4287,8.3285,8.0543,7.3607,458.848
0.8293,0.2836,0.4228,0.4292,7.2476,7.2697,7.2604,414.794
0.6459,0.2836,0.4228,0.4292,8.5938,8.3716,7.8862,452.905
0.503,0.2808,0.4212,0.4289,6.999,7.1655,7.4969,454.979
0.3918,0.279,0.4205,0.4291,4.7081,5.2204,6.386,464.819
0.3051,0.2684,0.4151,0.4286,3.9236,4.4154,5.6219,468.039
0.2376,0.2654,0.4129,0.4287,3.8276,4.2376,5.2708,481.319
0.7396,0.2835,0.4227,0.4292,3.5033,3.9237,4.9674,424.454
0.8093,0.2835,0.4227,0.4292,4.0855,4.349,5.0719,439.708
0.7548,0.2809,0.4213,0.4289,6.1302,6.051,5.9893,444.87
0.5879,0.2695,0.4161,0.4284,6.7769,6.721,6.6328,462.881
0.4578,0.2677,0.4145,0.4286,4.0589,4.5748,5.7148,477.96
0.3566,0.2814,0.414,0.4291,2.736,3.3413,4.7832,460.723
0.2777,0.2731,0.4113,0.4285,2.9627,3.3881,4.4962,466.271
0.2163,0.2623,0.404,0.4279,3.2481,3.589,4.4819,479.234
0.1684,0.2622,0.4038,0.4287,5.3981,5.3546,5.3913,478.764
0.1312,0.2645,0.4019,0.4287,7.6662,7.3551,6.7343,475.965
0.1753,0.2814,0.4216,0.429,8.9304,8.5937,7.8423,447.315
0.5394,0.2794,0.4204,0.4287,12.7184,11.8847,9.9966,431.655
0.4201,0.2573,0.4107,0.4276,12.5212,12.0501,10.8423,463.694
0.3272,0.2573,0.4107,0.4279,5.5548,6.4485,8.2296,492.346
0.2548,0.2472,0.4026,0.4266,4.8842,5.4952,6.9538,493.733
