0,1,2,3,4,5,6,7
0.6408,0.3291,0.4153,0.4586,1.76,2.4768,4.629,770.121
0.6716,0.3262,0.4147,0.4568,1.7569,2.4741,4.6272,787.194
0.8294,0.3336,0.417,0.4629,2.1001,2.7873,4.8506,730.004
0.899,0.3336,0.417,0.4607,2.2501,2.9251,4.9512,751.227
0.909,0.3325,0.4164,0.4586,1.9942,2.6919,4.7859,770.288
0.8804,0.3304,0.4155,0.4567,1.8228,2.5355,4.6743,787.239
0.8283,0.328,0.4149,0.4552,1.5705,2.3047,4.5086,802.213
0.7649,0.3248,0.4143,0.4538,1.3937,2.1428,4.3913,814.472
0.6966,0.3337,0.4171,0.453,0.7203,1.5268,3.9482,825.309
0.5425,0.3335,0.417,0.453,0.5549,1.3754,3.8392,825.309
0.8471,0.3323,0.4163,0.467,1.5176,2.2551,4.4692,688.031
0.9944,0.3325,0.4165,0.4639,1.8164,2.5289,4.6678,719.38
1.0425,0.3316,0.4162,0.4613,1.8477,2.5582,4.6906,745.048
1.0316,0.3323,0.417,0.4592,1.7623,2.4805,4.6357,765.493
0.9862,0.3333,0.417,0.4574,1.8078,2.522,4.6653,782.312
0.9218,0.3314,0.4166,0.4558,1.9811,2.6801,4.7779,796.53
0.847,0.3298,0.4162,0.4544,1.3705,2.122,4.3776,809.401
0.9985,0.3336,0.4171,0.4614,0.7625,1.566,3.9782,717.83
0.7776,0.3324,0.4164,0.4609,0.1342,0.9936,3.5727,717.83
0.6056,0.3322,0.4163,0.4605,-1.2616,-0.2801,2.6651,717.83
0.4717,0.3312,0.4158,0.46,-2.0092,-0.9622,2.1791,717.83
0.3673,0.3302,0.4154,0.4596,-2.501,-1.4112,1.8587,717.83
0.2861,0.3302,0.417,0.4592,-2.6608,-1.5573,1.7538,717.83
0.2228,0.3334,0.417,0.4588,-2.0069,-0.9604,2.1797,717.83
0.1735,0.3333,0.4169,0.4585,-1.3941,-0.4004,2.5811,717.83
0.1351,0.3335,0.417,0.4581,-1.1572,-0.1834,2.7378,717.83
0.1052,0.333,0.4168,0.4577,-1.0708,-0.104,2.796,717.83
0.082,0.3318,0.4161,0.4573,-0.9568,0.0003,2.8712,717.83
0.0638,0.3309,0.4156,0.4569,-0.8622,0.0867,2.9328,717.83
0.0497,0.3293,0.4147,0.4563,-0.8297,0.1161,2.9533,717.83
0.0387,0.3287,0.4144,0.456,-0.8004,0.1425,2.9709,717.83
0.0302,0.3263,0.4133,0.4555,-0.7278,0.2083,3.0165,717.83
0.0235,0.3248,0.4128,0.4551,-0.5355,0.3831,3.1395,717.83
0.0183,0.3181,0.4104,0.4543,0.026,0.8952,3.5036,717.83
0.0142,0.3195,0.4171,0.454,0.4603,1.2907,3.7833,717.83
0.1172,0.3156,0.4161,0.4529,0.7507,1.5551,3.9702,822.213
0.0913,0.3123,0.4145,0.4527,0.5964,1.4129,3.8651,822.213
0.0711,0.3077,0.4115,0.4525,0.235,1.0815,3.6243,822.213
0.0554,0.3062,0.4102,0.4524,-0.2518,0.6353,3.3007,822.213
0.0431,0.3328,0.4166,0.4529,-0.4589,0.4448,3.1609,822.213
0.0336,0.3337,0.4171,0.453,-0.4918,0.4155,3.142,822.213
0.0262,0.3318,0.4161,0.4528,-0.3401,0.5551,3.2448,822.213
0.0204,0.3304,0.4154,0.4526,-0.3916,0.5087,3.213,822.213
0.0159,0.3282,0.4146,0.4524,-0.4551,0.4508,3.1721,822.213
0.0124,0.3262,0.4141,0.4523,-1.0733,-0.1141,2.7672,822.213
0.0096,0.3247,0.4137,0.4523,-2.0569,-1.0133,2.1219,822.213
0.0075,0.3272,0.4171,0.453,-2.5099,-1.4278,1.8235,822.213
0.0058,0.3258,0.4165,0.4528,-2.3799,-1.3092,1.9081,822.213
0.0045,0.3328,0.4166,0.4529,-1.8374,-0.8137,2.2624,822.213
0.0035,0.3314,0.4159,0.4527,-1.6206,-0.6148,2.407,822.213
0.0028,0.3302,0.4155,0.4526,-1.7182,-0.7036,2.3446,822.213
0.0021,0.3279,0.4147,0.4525,-2.1678,-1.1142,2.051,822.213
0.0017,0.3255,0.414,0.4523,-2.5033,-1.4211,1.8303,822.213
0.0013,0.319,0.4123,0.452,-1.935,-0.9023,2.2007,822.213
0.001,0.3334,0.4169,0.4529,-1.3629,-0.3804,2.5721,822.213
0.0008,0.3333,0.4169,0.4529,-0.8636,0.0761,2.8998,822.213
0.0006,0.3336,0.4171,0.453,-0.679,0.2453,3.0226,822.213
0.0005,0.3324,0.4164,0.4528,-0.934,0.0129,2.8577,822.213
0.0004,0.3312,0.4158,0.4527,-1.586,-0.5825,2.4318,822.213
0.0003,0.33,0.4153,0.4526,-2.065,-1.0203,2.1179,822.213
0.0002,0.3266,0.4142,0.4524,-2.3219,-1.2555,1.9484,822.213
0.0002,0.3333,0.4169,0.4529,-2.0453,-1.0035,2.127,822.213
0.0001,0.3332,0.4168,0.4529,-0.958,-0.01,2.8386,822.213
0.0001,0.3298,0.415,0.4525,-0.2755,0.6141,3.2866,822.213
0.0001,0.3292,0.4148,0.4528,-0.1033,0.7711,3.3986,822.213
0.0001,0.3306,0.4169,0.4529,0.3398,1.1759,3.6881,822.213
0.0001,0.3258,0.4152,0.4526,0.3594,1.1936,3.7004,822.213
0.013,0.3183,0.4134,0.4522,0.611,1.4231,3.8635,887.761
0.0101,0.3173,0.4132,0.4525,1.1705,1.9336,4.2273,910.704
0.0558,0.3319,0.4161,0.4528,2.2097,2.8829,4.9066,859.651
0.0822,0.3272,0.4151,0.4526,2.7321,3.3606,5.2496,866.532
0.3586,0.3334,0.417,0.4624,3.0376,3.6397,5.4496,734.547
0.5196,0.3335,0.417,0.4601,3.4733,4.0389,5.7384,756.573
0.6034,0.3314,0.4158,0.458,3.4246,3.9954,5.7101,774.85
