0,1,2,3,4,5,6,7
0.0,0.3285,0.4144,0.3064,2.497,3.1724,5.186,1054.093
0.0,0.3261,0.4134,0.3062,2.5097,2.9711,4.5313,1057.826
0.0,0.3335,0.417,0.3158,4.8002,4.8635,5.2759,1030.213
0.0,0.3335,0.417,0.316,4.7796,4.945,5.5159,1029.897
0.0,0.3321,0.4162,0.3159,2.4537,2.9781,4.5594,1030.38
0.0,0.3297,0.4149,0.3156,1.9372,2.4096,3.9559,1032.617
0.0,0.3277,0.414,0.3154,1.4793,1.9496,3.4966,1036.603
0.0,0.325,0.4129,0.3152,1.5161,1.9243,3.3029,1039.999
0.0,0.325,0.4129,0.3152,-2.6806,-1.6815,1.3229,1039.999
0.0,0.3335,0.417,0.3476,2.3042,2.3542,2.7637,962.466
0.0,0.3316,0.4159,0.3722,7.3656,6.7605,5.4402,896.423
0.0,0.3319,0.4161,0.3759,8.4309,8.0516,6.9686,886.697
0.0,0.3311,0.4157,0.3758,5.8542,6.0514,6.4852,890.533
0.0,0.3308,0.4155,0.3758,3.5191,4.0005,5.3302,892.087
0.0,0.3306,0.4154,0.3758,3.2729,3.6478,4.8025,891.93
0.0,0.3293,0.4147,0.3756,3.9045,4.1265,4.8759,892.748
0.0,0.3282,0.4141,0.3755,0.7886,1.5046,3.5203,895.992
0.0,0.3282,0.4141,0.3755,-1.456,-0.5829,1.9784,895.992
0.0,0.3264,0.4133,0.3754,1.5213,1.7518,2.6482,898.278
0.0,0.3265,0.417,0.3763,0.4991,0.9292,2.3758,897.361
0.0,0.3252,0.4164,0.3761,1.0452,1.3834,2.495,897.796
0.0,0.3238,0.4159,0.376,1.4121,1.709,2.677,900.015
0.0,0.3238,0.4159,0.376,1.9753,2.2057,2.9795,902.222
0.0,0.3337,0.4171,0.3783,3.0488,3.1512,3.5644,882.665
0.0,0.3337,0.4171,0.381,3.5344,3.6377,4.0119,875.41
0.0,0.3337,0.4171,0.381,3.7364,3.8648,4.2925,875.536
0.0,0.3331,0.4168,0.381,3.6615,3.8376,4.392,875.661
0.0,0.332,0.4162,0.3808,3.716,3.8977,4.4774,876.945
0.0,0.3311,0.4157,0.3807,3.8554,4.0295,4.5918,879.148
0.0,0.329,0.4145,0.3805,3.8771,4.0654,4.663,881.064
0.0,0.3283,0.4142,0.3804,3.9317,4.1227,4.73,885.039
0.0,0.3257,0.413,0.3802,3.9401,4.1406,4.7735,886.543
0.0,0.325,0.4125,0.3801,4.122,4.3021,4.8831,890.948
0.0,0.3277,0.4138,0.3958,4.9523,5.0206,5.3031,835.409
0.0,0.3277,0.4138,0.3958,7.2019,6.9782,6.4685,846.283
0.0,0.3247,0.4121,0.3954,6.3312,6.4038,6.5751,846.407
0.0,0.3217,0.4109,0.3952,3.8431,4.3111,5.5623,853.448
0.0,0.317,0.4094,0.3949,1.1369,1.8923,3.9959,858.071
0.0,0.3151,0.4089,0.3948,-0.9305,-0.0538,2.4568,858.071
0.0,0.3136,0.4083,0.3946,-1.4098,-0.6571,1.589,858.071
0.0,0.3136,0.4083,0.3946,1.5978,1.78,2.5035,869.28
0.0,0.3113,0.4155,0.3943,2.0113,2.1944,2.9581,865.583
0.0,0.3184,0.4151,0.3943,2.3082,2.5357,3.2645,865.199
0.0,0.3154,0.4141,0.3941,2.6299,2.8407,3.5191,864.734
0.0,0.3123,0.4132,0.3939,2.3939,2.6739,3.5186,868.568
0.0,0.3112,0.4128,0.3938,1.749,2.1287,3.2411,872.268
0.0,0.3112,0.4128,0.3938,2.4517,2.6825,3.4409,873.829
0.0,0.3095,0.412,0.3937,2.891,3.0839,3.7119,873.952
0.0,0.3112,0.4113,0.3935,3.7548,3.8474,4.2022,857.124
0.0,0.3325,0.4164,0.3937,3.972,4.0972,4.5039,844.48
0.0,0.3316,0.416,0.3936,3.5791,3.8016,4.468,846.281
0.0,0.3299,0.415,0.3934,2.9359,3.253,4.1899,848.201
0.0,0.3283,0.4142,0.3933,2.8463,3.142,4.0522,852.335
0.0,0.324,0.4118,0.3928,3.5216,3.6979,4.2983,855.486
0.0,0.3337,0.4171,0.4117,4.2728,4.3687,4.7286,797.719
0.0,0.3337,0.4171,0.4199,4.2253,4.3863,4.883,780.302
0.0,0.3337,0.4171,0.4199,3.1703,3.5171,4.4956,780.4
0.0,0.3319,0.4161,0.4197,1.074,1.6973,3.4321,780.498
0.0,0.3305,0.4153,0.4195,-1.1824,-0.3471,2.0105,780.498
0.0,0.3294,0.4148,0.4194,-1.8411,-1.0837,1.1222,780.498
0.0,0.3257,0.4133,0.4191,-1.5896,-0.9687,0.8309,780.498
0.0,0.3337,0.4171,0.4216,1.4066,1.5113,1.9659,777.119
0.0,0.3329,0.4167,0.4356,3.8476,3.6597,3.4185,747.175
0.0,0.3282,0.4141,0.4392,4.3525,4.2172,4.1908,739.664
0.0,0.3276,0.4138,0.4392,3.9872,4.0989,4.4219,746.13
0.0,0.3271,0.4136,0.4391,4.9145,4.9071,4.9581,745.515
0.0,0.3226,0.4111,0.4386,3.5819,3.8692,4.6333,746.742
0.0,0.3131,0.408,0.4379,3.3108,3.5951,4.4161,754.565
0.0,0.3119,0.4078,0.4379,6.0695,5.8851,5.5467,765.397
0.0,0.3309,0.4156,0.4411,9.0565,8.5567,7.3241,735.719
0.0,0.3272,0.4139,0.4407,8.6731,8.4878,7.9273,740.976
0.0,0.3333,0.4169,0.4529,7.3216,7.4281,7.6501,682.939
0.0,0.3333,0.4168,0.4529,8.7509,8.59,8.216,683.189
0.0,0.3299,0.415,0.4525,6.9041,7.1363,7.6958,683.277
0.0,0.3292,0.4147,0.4524,4.3757,4.9428,6.427,690.813
0.0,0.3212,0.4118,0.4518,3.5897,4.1104,5.5779,691.815
0.0,0.318,0.4107,0.4516,3.6584,4.0613,5.2417,702.077
0.0,0.3332,0.4168,0.4529,3.3733,3.7802,4.9485,639.156
0.0,0.3332,0.4168,0.4529,4.0883,4.3327,5.1085,623.949
0.0,0.3301,0.4151,0.4526,6.4261,6.3119,6.1501,614.489
0.0,0.3217,0.4121,0.4519,7.0749,7.0016,6.8463,622.201
0.0,0.3196,0.4117,0.4518,3.8597,4.4031,5.7698,633.81
0.0,0.3188,0.4114,0.4518,0.9866,1.839,4.1133,634.854
0.0,0.3279,0.409,0.4513,3.3108,3.5515,4.4106,620.254
0.0,0.3189,0.4057,0.4506,3.5847,3.8375,4.61,629.004
0.0,0.3228,0.4054,0.4505,5.667,5.5994,5.5571,628.537
0.0,0.3268,0.4031,0.45,8.144,7.8043,6.9999,626.116
0.0,0.3308,0.4155,0.4526,9.3151,8.9852,8.1162,599.33
0.0,0.3286,0.4143,0.4524,13.2307,12.4151,10.3036,574.673
0.0,0.3129,0.4079,0.451,12.8124,12.3793,11.0944,583.073
0.0,0.3129,0.4079,0.451,5.5743,6.436,8.4227,605.214
0.0,0.3005,0.4026,0.4503,4.8491,5.4426,7.0862,605.375
0.0,0.2843,0.3924,0.4493,4.7253,5.1855,6.4892,617.522
0.0,0.2745,0.3844,0.4485,5.485,5.7472,6.5378,634.189
0.0,0.2597,0.3719,0.4472,6.7805,6.8331,7.0737,645.158
0.0,0.2587,0.3709,0.447,10.1925,9.732,8.7153,661.385
0.0,0.2575,0.3705,0.447,8.3407,8.4448,8.621,647.691
0.0,0.3332,0.3775,0.4469,8.9032,8.8796,8.8518,603.624
0.0,0.3315,0.4034,0.4467,11.4211,11.0278,10.0517,594.227
0.0,0.3193,0.3978,0.4455,12.1197,11.7898,10.8774,599.349
0.0,0.3105,0.395,0.445,10.3717,10.4386,10.5163,618.226
0.0,0.2999,0.39,0.4443,8.3356,8.6851,9.5498,626.677
0.0,0.2975,0.3894,0.4442,7.8104,8.1184,8.9568,629.839
0.0,0.293,0.3881,0.4439,9.2852,9.2732,9.3392,632.489
0.0,0.2833,0.3837,0.4433,8.2841,8.5021,9.0591,638.069
0.0,0.2816,0.3826,0.4432,4.8315,5.5865,7.4732,647.867
0.0,0.2708,0.3745,0.4426,3.9963,4.6578,6.4477,649.936
0.0,0.2689,0.3738,0.4424,3.6512,4.2374,5.8357,653.214
0.0,0.2553,0.3675,0.4415,3.6435,4.1417,5.5192,655.654
0.0,0.2437,0.3567,0.4403,4.2517,4.5998,5.5899,672.45
0.0,0.2327,0.3472,0.4387,5.3006,5.4745,6.0145,687.681
0.0,0.2308,0.3457,0.4385,6.5412,6.555,6.6802,692.97
0.0,0.2224,0.3379,0.4378,5.8714,6.1001,6.6649,696.098
0.0,0.2182,0.3355,0.4374,6.5861,6.6777,6.962,694.47
0.0,0.2073,0.3263,0.4363,7.2055,7.2335,7.3503,700.506
0.0,0.2043,0.3243,0.4361,8.2167,8.1193,7.9443,707.901
0.0,0.2199,0.3233,0.4359,9.4709,9.2351,8.7323,691.733
0.0,0.222,0.3226,0.4357,8.0184,8.174,8.4904,692.211
