Params,"IWTDN1,SWATFT0","IWTDN1,SWATFT1","IWTDN2,SWATFT1"
"('SFTMP.bsn', -3, 3)",2.3159385,2.1530516,2.36109
"('SMTMP.bsn', -3, 3)",-1.4026976,2.9379544,1.6834075
"('TIMP.bsn', 0.01, 0.4)",0.39673045,0.3537351,0.15608233
"('SMFMX.bsn', 1.4, 6.9)",3.8773618,6.546725,6.543089
"('SMFMN.bsn', 1.4, 6.9)",2.0515027,2.881815,1.7618958
"('SNOCOVMX.bsn', 0.8, 6)",5.4771113,3.8454363,1.1059362
"('SNO50COV.bsn', 0.2, 0.7)",0.60513866,0.31304467,0.26384178
"('ESCO.hru', 0.001, 1)",0.88436526,0.4340708,0.46790996
"('EPCO.hru', 0, 1)",0.34899455,0.4913337,0.8718255
"('R2ADJ.hru', 0, 1)",0.998179,0.99139667,0.7966678
"('OV_N.hru', 0.05, 0.5)",0.36135107,0.3103353,0.20945257
"('DEP_IMP.hru', 1524, 2133.6)",1977.8615,1611.6436,1941.9976
"('CN2.mgt', 84, 94)",86.964226,93.97317,93.38843
"('LATKSATF.sdr', 1, 4)",3.119552,2.6761818,3.6709173
"('SOL_CRK.sol', 0, 0.5)",9.304091e-05,1.1002577e-05,2.756116e-05
