Date,Tileflowmm,Surfaceflowmm,TilePg/ha,SurPg/ha,TileNo3kg/ha,SurNo3kg/ha,VWC_10cm,VWC_20cm,VWC_50cm,TMP_10cm,TMP_20cm,TMP_50cm
1/1/2020,0.1203,0,0.4094,0,0.0026,0,,,,,,
1/2/2020,0.1085,0,0.6625,0,0.0029,0,,,,,,
1/3/2020,0.4503,0,1.0724,0,0.0127,0,,,,,,
1/4/2020,0.6884,0,0.4788,0,0.0415,0,,,,,,
1/5/2020,0.3688,0,0.2545,0,0.0273,0,,,,,,
1/6/2020,0.208,0,0.3024,0,0.0142,0,,,,,,
1/7/2020,0.1534,0,0.152,0,0.0046,0,,,,,,
1/8/2020,0.0646,0,0.151,0,0.0012,0,,,,,,
1/9/2020,0.0592,0,0.2417,0,0.0016,0,,,,,,
1/10/2020,6.7784,0,5.1822,0,0.3392,0,,,,,,
1/11/2020,8.0825,0.0233,1.1234,0.0131,0.4184,0,,,,,,
1/12/2020,7.5283,0.0055,1.0796,0.0031,0.4239,0,,,,,,
1/13/2020,2.3049,0,0.3292,0,0.1573,0,,,,,,
1/14/2020,1.1337,0,0.1358,0,0.0903,0,,,,,,
1/15/2020,0.7081,0,0.0708,0,0.0596,0,,,,,,
1/16/2020,0.4631,0,0.0462,0,0.0385,0,,,,,,
1/17/2020,0.3959,0,0.0371,0,0.032,0,,,,,,
1/18/2020,5.3044,0,0.612,0,0.3372,0,,,,,,
1/19/2020,2.687,0,0.2751,0,0.201,0,,,,,,
1/20/2020,0.7089,0,0.0685,0,0.0577,0,,,,,,
1/21/2020,0.481,0,0.0446,0,0.0388,0,,,,,,
1/22/2020,0.4105,0,0.0374,0,0.0336,0,,,,,,
1/23/2020,0.3265,0,0.0369,0,0.0263,0,,,,,,
1/24/2020,0.4128,0,0.0621,0,0.0322,0,,,,,,
1/25/2020,0.7068,0,0.1012,0,0.0551,0,,,,,,
1/26/2020,0.9316,0,0.1234,0,0.0744,0,,,,,,
1/27/2020,0.9493,0,0.1238,0,0.078,0,,,,,,
1/28/2020,1.0249,0,0.14,0,0.0867,0,,,,,,
1/29/2020,0.8134,0,0.1027,0,0.07,0,,,,,,
1/30/2020,0.5584,0,0.071,0,0.0478,0,,,,,,
1/31/2020,0.4892,0,0.0634,0,0.0415,0,,,,,,
2/1/2020,0.8733,0,0.1063,0,0.0752,0,,,,,,
2/2/2020,1.5467,0,0.1856,0,0.1419,0,,,,,,
2/3/2020,0.7913,0,0.095,0,0.073,0,,,,,,
2/4/2020,0.9956,0,0.1233,0,0.0913,0,,,,,,
2/5/2020,1.5106,0,0.191,0,0.14,0,,,,,,
2/6/2020,0.925,0,0.1079,0,0.0843,0,,,,,,
2/7/2020,0.523,0,0.0593,0,0.0462,0,,,,,,
2/8/2020,0.369,0,0.045,0,0.0311,0,,,,,,
2/9/2020,0.5782,0.5783,0.0739,0.8958,0.0431,0.0186,,,,,,
2/10/2020,9.3625,4.1247,1.2537,8.3737,0.6767,0.1427,,,,,,
2/11/2020,6.2699,0,0.8559,0,0.4898,0,,,,,,
2/12/2020,2.2403,0,0.2686,0,0.1948,0,,,,,,
2/13/2020,1.502,0,0.1667,0,0.1326,0,,,,,,
2/14/2020,1.0456,0,0.1317,0,0.093,0,,,,,,
2/15/2020,0.9053,0,0.1087,0,0.0804,0,,,,,,
2/16/2020,0.8314,0,0.0959,0,0.0724,0,,,,,,
2/17/2020,2.7725,0,0.3051,0,0.2068,0,,,,,,
